models,training_accuracy,test_accuracy,f1_score,precision,recall
logistic_regression,0.9985,0.999,0.9974554707379135,0.9974554707379135,0.9974554707379135
random_forest,1.0,0.999,0.9974554707379135,0.9974554707379135,0.9974554707379135
svm,0.9985,0.999,0.9974554707379135,0.9974554707379135,0.9974554707379135
KNN,0.993875,0.9865,1.0,0.9312977099236641,0.9644268774703557
gradient_boosting,0.9995,0.9985,0.9949238578680203,0.9974554707379135,0.9961880559085133
xgboost,0.999875,0.999,0.9974554707379135,0.9974554707379135,0.9974554707379135
